,T_mean,N_mean,IOU_mean,IOU_var
T_mean,1.0,0.598823464074592,-0.7940737164105662,0.7217805536408434
N_mean,0.598823464074592,1.0,-0.6176465905395913,0.596687769853314
IOU_mean,-0.7940737164105662,-0.6176465905395913,1.0,-0.9539304225022891
IOU_var,0.7217805536408434,0.596687769853314,-0.9539304225022891,1.0
